NM_178667	TFDP2
NM_001184710	TFDP2
NM_001184711	TFDP2
NM_001184706	TFDP2
NM_001184708	TFDP2
NM_175537	ZBTB38
NM_001103168	ZGLP1
NM_194263	TBX20
NM_020496	TBX20
NM_172765	ZBTB44
NM_001115130	ZBTB44
NM_001080817	PRDM10
NM_172162	HINFP
NM_001033469	FOXR1
NM_027397	ISL2
NM_013708	NR2E3
NM_022378	FOXB1
NM_001033536	RFX7
NM_008103	GCM1
NM_023814	TBX18
NM_009576	ZIC4
NM_009573	ZIC1
NM_012020	FOXL2
NM_011440	SOX14
NM_013699	UBP1
NM_001083319	UBP1
NM_001164789	EOMES
NM_010136	EOMES
NM_013476	AR
NM_011768	ZFX
NM_001044386	ZFX
NM_001080549	HDX
NM_001077364	TSC22D3
NM_173780	KLF8
NM_054039	FOXP3
NM_008089	GATA1
NM_007922	ELK1
NM_020256	ZBTB33
NM_001079513	ZBTB33
NM_019680	ELF4
NM_009575	ZIC3
NM_009237	SOX3
NM_007430	NR0B1
NM_007492	ARX
NM_001081473	ZXDB
NR_003292	ZXDA
NM_018789	FOXO4
NM_007674	CDX4
NM_181319	TBX22
NM_145224	TBX22
NM_008901	POU3F4
NM_007957	ESX1
NM_010286	TSC22D3
NM_001034894	FOXR2
NM_011564	SRY
NM_019740	FOXO3
NM_007956	ESR1
NM_009538	PLAGL1
NM_010437	HIVEP2
NM_153787	BCLAF1
NM_001025393	BCLAF1
NM_001025392	BCLAF1
NM_007548	PRDM1
NM_023598	ARID5B
NM_010731	ZBTB7A
NM_008688	NFIC
NM_026756	NFIC
NM_001024918	RFX4
NM_001033466	ZBTB2
NM_053008	OLIG3
NM_010848	MYB
NM_011545	TCF21
NM_013904	HEY2
NM_153398	ZBTB24
NM_152229	NR2E1
NM_001031772	LIN28B
NM_011376	SIM1
NM_008297	HSF2
NM_009719	NEUROG3
NM_016864	ATOH7
NM_010118	EGR2
NM_009360	TFAM
NM_009646	AIRE
NM_007880	ARID3A
NM_001164150	TCF3
NM_001164147	TCF3
NM_011548	TCF3
NM_001164149	TCF3
NM_001164148	TCF3
NM_001164151	TCF3
NM_001164153	TCF3
NM_001164152	TCF3
NM_139226	ONECUT3
NM_078477	KLF16
NM_145365	CREB3L3
NM_010914	NFYB
NM_027689	RFX4
NM_181650	PRDM4
NM_001163614	ASCL4
NM_008553	ASCL1
NM_011461	SPIC
NM_001163504	NR1H4
NM_001163700	NR1H4
NM_009108	NR1H4
NM_013508	ELK3
NM_011629	NR2C1
NM_172553	ALX1
NM_008656	MYF5
NM_008657	MYF6
NM_178609	E2F7
NM_007837	DDIT3
NM_010296	GLI1
NM_009284	STAT6
NM_019963	STAT2
NM_011772	IKZF4
NM_007501	NEUROD4
NM_011489	STAT5B
NM_001113563	STAT5B
NM_010789	MEIS1
NM_001193271	MEIS1
NM_009578	IKZF1
NM_001025597	IKZF1
NM_016707	BCL11A
NM_001159290	BCL11A
NM_001159289	BCL11A
NM_007897	EBF1
NM_009562	ZFP62
NM_001024846	ZFP62
NM_001044700	ZFP2
NM_001044697	ZFP2
NM_001044699	ZFP2
NM_001044698	ZFP2
NM_011480	SREBF1
NM_172798	TBX4
NM_011536	TBX4
NM_001079869	HOXB3
NM_010458	HOXB3
NM_009024	RARA
NM_001177303	RARA
NM_001176528	RARA
NM_001177302	RARA
NM_213659	STAT3
NM_011486	STAT3
NM_213660	STAT3
NM_019574	PATZ1
NM_013842	XBP1
NM_011023	OTX1
NM_009044	REL
NM_019916	TLX3
NM_023907	FOXI1
NM_173384	SOX30
NM_008936	PROP1
NM_009331	TCF7
NM_001159393	IRF1
NM_008390	IRF1
NM_001159396	IRF1
NM_008213	HAND1
NM_033041	HES7
NM_009235	SOX15
NM_029348	ZBTB4
NM_007528	BCL6B
NM_001190376	CAMTA2
NM_001190378	CAMTA2
NM_001190379	CAMTA2
NM_178116	CAMTA2
NM_177565	ZFP3
NM_010813	MNT
NM_010430	HIC1
NM_001098203	HIC1
NM_008238	FOXN1
NM_008759	SEBOX
NM_009330	HNF1B
NM_008498	LHX1
NM_009324	TBX2
NM_001045527	HSF5
NM_016686	VEZF1
NM_172563	HLF
NM_010055	DLX3
NM_007867	DLX4
NM_008267	HOXB13
NM_008269	HOXB6
NM_008270	HOXB9
NM_008268	HOXB5
NM_010460	HOXB7
NM_010461	HOXB8
NM_010459	HOXB4
NM_134032	HOXB2
NM_008266	HOXB1
NM_008686	NFE2L1
NM_001130452	NFE2L1
NM_001130451	NFE2L1
NM_001130454	NFE2L1
NM_001130450	NFE2L1
NM_001130453	NFE2L1
NM_030220	SP2
NM_001080964	SP2
NM_031183	SP6
NM_019507	TBX21
NM_010895	NEUROD2
NM_011771	IKZF3
NM_178060	THRA
NM_145434	NR1D1
NM_001164062	STAT5A
NM_011488	STAT5A
NM_011550	MLX
NM_001159384	MLX
NM_001159385	MLX
NM_008815	ETV4
NM_010791	MEOX1
NM_011551	UBTF
NM_001044383	UBTF
NM_011448	SOX9
NM_008240	FOXJ1
NM_010756	MAFG
NM_001080932	FOXK2
NM_183186	FOXN3
NM_001093776	MYT1L
NM_001093775	MYT1L
NM_008666	MYT1L
NM_001093778	MYT1L
NM_013780	NPAS3
NM_016767	BATF
NM_001166385	SP4
NM_009239	SP4
NM_145890	GRHL1
NM_001161406	GRHL1
NM_008584	MEOX2
NM_007960	ETV1
NM_001163154	ETV1
NM_011041	PAX9
NM_001172104	ZBTB25
NM_028356	ZBTB25
NM_001159500	ESRRB
NM_011934	ESRRB
NM_021399	BCL11B
NM_001079883	BCL11B
NM_198023	RCOR1
NM_011859	OSR1
NM_008709	MYCN
NR_027677	E2F6
NM_033270	E2F6
NM_178357	KLF11
NM_010496	ID2
NM_009234	SOX11
NM_153198	HBP1
NM_177993	HBP1
NM_011658	TWIST1
NM_013464	AHR
NM_001160112	FOXG1
NM_008241	FOXG1
NM_020287	INSM2
NM_001146198	NKX2-1
NM_009385	NKX2-1
NM_008259	FOXA1
NM_011384	SIX6
NM_009189	SIX1
NM_011382	SIX4
NM_010431	HIF1A
NM_207707	ESR2
NM_010157	ESR2
NM_178744	ZBTB1
NM_008558	MAX
NM_001146176	MAX
NM_007701	VSX2
NM_175198	PROX2
NM_010234	FOS
NM_030887	JDP2
NM_010351	GSC
NM_009537	YY1
NM_177082	SP8
NM_008130	GLI3
NM_018885	IRX4
NM_175006	POU6F2
NM_010093	E2F3
NM_010225	FOXF2
NM_001177869	RREB1
NR_033615	RREB1
NM_026830	RREB1
NM_001177868	RREB1
NM_001039188	RREB1
NR_033218	RREB1
NM_007772	HIVEP1
NM_007526	BARX1
NM_025282	MEF2C
NM_001170537	MEF2C
NM_011803	KLF6
NM_023685	ZKSCAN3
NM_001145778	ZKSCAN3
NM_016684	ZSCAN12
NM_001039115	ZKSCAN4
NM_009238	SOX4
NM_013674	IRF4
NM_008239	FOXQ1
NM_008592	FOXC1
NM_008104	GCM2
NM_017373	NFIL3
NM_013601	MSX2
NM_016662	MXD3
NM_011097	PITX1
NM_010896	NEUROG1
NM_001164041	SMAD5
NM_008541	SMAD5
NM_001164042	SMAD5
NM_010573	IRX1
NM_010574	IRX2
NM_010151	NR2F1
NM_030237	SPZ1
NM_011021	OTP
NM_008242	FOXD1
NM_172593	MIER3
NM_021459	ISL1
NM_011243	RARB
NM_001113417	THRB
NM_001039198	ZFHX2
NM_008092	GATA4
NM_028228	PINX1
NM_177338	HMBOX1
NM_010095	EBF2
NM_007920	ELF1
NM_010636	KLF12
NM_080433	FEZF2
NM_009380	THRB
NM_011584	NR1D2
NM_010420	HESX1
NM_144841	OTX2
NM_015772	SALL2
NM_207131	CEBPE
NM_183174	HOMEZ
NM_001177705	HOMEZ
NM_008736	NRL
NM_001159418	IRF9
NM_008394	IRF9
NM_001136074	NRL
NM_001159417	IRF9
NM_023699	NFATC4
NM_001168346	NFATC4
NM_011446	SOX7
NM_010920	NKX2-6
NM_010921	NKX3-1
NM_018781	EGR3
NM_009366	TSC22D1
NM_207652	TSC22D1
NM_001177751	TSC22D1
NM_009769	KLF5
NM_011143	POU4F1
NM_177753	SOX21
NM_009574	ZIC2
NM_022987	ZIC5
NM_011766	ZFPM2
NM_026496	GRHL2
NM_032000	TRPS1
NM_199449	ZHX2
NM_198644	ZFAT
NM_001145888	ZFAT
NM_011144	PPARA
NM_001113418	PPARA
NM_181412	ZBED4
NM_146065	ATF7
NM_054049	OSR2
NM_013692	KLF10
NM_009572	ZHX1
NM_001042438	ZHX1
NM_010849	MYC
NM_001177354	MYC
NM_001177353	MYC
NM_001177352	MYC
NM_011759	ZFP41
NM_001044718	ZFP41
NM_194350	MAFA
NM_008296	HSF1
NM_130893	SCRT1
NM_007989	FOXH1
NM_011437	SOX10
NM_010755	MAFF
NM_009716	ATF4
NM_153484	TEF
NM_017376	TEF
NM_033218	SREBF2
NM_207533	DBX2
NM_009504	VDR
NM_007497	ATF1
NM_010127	POU6F1
NM_010444	NR4A1
NM_001042727	RARG
NM_011244	RARG
NM_130458	SP7
NM_013672	SP1
NM_010464	HOXC13
NM_175730	HOXC5
NM_013553	HOXC4
NM_010465	HOXC6
NM_010463	HOXC12
NM_008272	HOXC9
NM_010462	HOXC10
NM_001024842	HOXC11
NM_010466	HOXC8
NM_008685	NFE2
NM_027444	BBX
NM_016967	OLIG2
NM_023794	ETV5
NM_009744	BCL6
NM_134111	EAF2
NM_010936	NR1I2
NM_001098404	NR1I2
NM_181058	ZBTB20
NM_019778	ZBTB20
NM_001111022	RUNX1
NM_001111023	RUNX1
NM_001111021	RUNX1
NM_009821	RUNX1
NM_133659	ERG
NM_144789	PRDM15
NM_031184	GLIS2
NM_011415	SNAI2
NM_007679	CEBPD
NM_178922	HIC2
NM_029469	GSC2
NM_011532	TBX1
NM_008235	HES1
NM_001113405	EAF2
NM_001113401	EAF2
NM_173026	ZBTB11
NM_008849	POU1F1
NM_008065	GABPA
NM_007520	BACH1
NM_016968	OLIG1
NM_011809	ETS2
NM_001085355	ARID1B
NR_033525	WIZ
NM_212438	WIZ
NM_011717	WIZ
NM_016670	PKNOX1
NR_027493	PKNOX1
NM_017463	PBX2
NM_009820	RUNX2
NM_001145920	RUNX2
NM_001146038	RUNX2
NM_172622	TRERF1
NM_001097623	TRERF1
NM_001163632	SATB1
NM_001163630	SATB1
NM_009122	SATB1
NM_001163631	SATB1
NM_180974	FOXN2
NM_009309	T
NM_144809	PRDM9
NM_001033425	ZSCAN10
NM_007893	E4F1
NM_011447	SOX8
NM_008700	NKX2-5
NM_013891	SPDEF
NM_011145	PPARD
NM_001098226	TEAD3
NM_011566	TEAD3
NM_011306	RXRB
NM_017406	ATF6B
NM_198886	ZBTB12
NM_013633	POU5F1
NR_033137	ZFP57
